Size, Type, Time
50000, "Sequential", 0.013079
50000, "Parallel", 0.054220
50000, "Built-in", 0.009061
50000, "Sequential", 0.009463
50000, "Parallel", 0.045735
50000, "Built-in", 0.008996
50000, "Sequential", 0.008269
50000, "Parallel", 0.041411
50000, "Built-in", 0.009071
50000, "Sequential", 0.008988
50000, "Parallel", 0.037113
50000, "Built-in", 0.008900
50000, "Sequential", 0.008547
50000, "Parallel", 0.037601
50000, "Built-in", 0.009468
50000, "Sequential", 0.010756
50000, "Parallel", 0.075536
50000, "Built-in", 0.009380
50000, "Sequential", 0.011163
50000, "Parallel", 0.068180
50000, "Built-in", 0.010974
50000, "Sequential", 0.011746
50000, "Parallel", 0.067639
50000, "Built-in", 0.009611
50000, "Sequential", 0.009817
50000, "Parallel", 0.066722
50000, "Built-in", 0.010279
50000, "Sequential", 0.010447
50000, "Parallel", 0.058151
50000, "Built-in", 0.012160
50000, "Sequential", 0.010284
50000, "Parallel", 0.053178
50000, "Built-in", 0.009160
50000, "Sequential", 0.009715
50000, "Parallel", 0.036682
50000, "Built-in", 0.010055
50000, "Sequential", 0.010713
50000, "Parallel", 0.042924
50000, "Built-in", 0.009955
50000, "Sequential", 0.010724
50000, "Parallel", 0.045148
50000, "Built-in", 0.009990
50000, "Sequential", 0.010499
50000, "Parallel", 0.048456
50000, "Built-in", 0.010441
50000, "Sequential", 0.010777
50000, "Parallel", 0.056227
50000, "Built-in", 0.010045
50000, "Sequential", 0.010689
50000, "Parallel", 0.052648
50000, "Built-in", 0.011834
50000, "Sequential", 0.010545
50000, "Parallel", 0.049531
50000, "Built-in", 0.009524
50000, "Sequential", 0.009690
50000, "Parallel", 0.050135
50000, "Built-in", 0.012218
50000, "Sequential", 0.012582
50000, "Parallel", 0.046437
50000, "Built-in", 0.010459
100000, "Sequential", 0.023889
100000, "Parallel", 0.050332
100000, "Built-in", 0.022538
100000, "Sequential", 0.023634
100000, "Parallel", 0.058905
100000, "Built-in", 0.022323
100000, "Sequential", 0.023736
100000, "Parallel", 0.047072
100000, "Built-in", 0.020645
100000, "Sequential", 0.018497
100000, "Parallel", 0.057971
100000, "Built-in", 0.023433
100000, "Sequential", 0.022754
100000, "Parallel", 0.046349
100000, "Built-in", 0.021583
100000, "Sequential", 0.018350
100000, "Parallel", 0.051036
100000, "Built-in", 0.020279
100000, "Sequential", 0.016978
100000, "Parallel", 0.049503
100000, "Built-in", 0.022388
100000, "Sequential", 0.022232
100000, "Parallel", 0.059161
100000, "Built-in", 0.023647
100000, "Sequential", 0.022119
100000, "Parallel", 0.061055
100000, "Built-in", 0.025085
100000, "Sequential", 0.027077
100000, "Parallel", 0.056187
100000, "Built-in", 0.025518
100000, "Sequential", 0.022831
100000, "Parallel", 0.069842
100000, "Built-in", 0.022146
100000, "Sequential", 0.023050
100000, "Parallel", 0.056486
100000, "Built-in", 0.022428
100000, "Sequential", 0.019073
100000, "Parallel", 0.045170
100000, "Built-in", 0.020709
100000, "Sequential", 0.018605
100000, "Parallel", 0.048296
100000, "Built-in", 0.020641
100000, "Sequential", 0.019106
100000, "Parallel", 0.051614
100000, "Built-in", 0.020744
100000, "Sequential", 0.018548
100000, "Parallel", 0.046654
100000, "Built-in", 0.019735
100000, "Sequential", 0.017927
100000, "Parallel", 0.056485
100000, "Built-in", 0.018936
100000, "Sequential", 0.019853
100000, "Parallel", 0.054585
100000, "Built-in", 0.023445
100000, "Sequential", 0.024078
100000, "Parallel", 0.060552
100000, "Built-in", 0.025349
100000, "Sequential", 0.025041
100000, "Parallel", 0.066034
100000, "Built-in", 0.022289
200000, "Sequential", 0.041661
200000, "Parallel", 0.062811
200000, "Built-in", 0.043104
200000, "Sequential", 0.036886
200000, "Parallel", 0.054941
200000, "Built-in", 0.039218
200000, "Sequential", 0.042615
200000, "Parallel", 0.064515
200000, "Built-in", 0.041329
200000, "Sequential", 0.039117
200000, "Parallel", 0.067393
200000, "Built-in", 0.041031
200000, "Sequential", 0.040987
200000, "Parallel", 0.064023
200000, "Built-in", 0.041463
200000, "Sequential", 0.042683
200000, "Parallel", 0.063351
200000, "Built-in", 0.042535
200000, "Sequential", 0.039546
200000, "Parallel", 0.070385
200000, "Built-in", 0.040478
200000, "Sequential", 0.048244
200000, "Parallel", 0.124896
200000, "Built-in", 0.048088
200000, "Sequential", 0.050871
200000, "Parallel", 0.079257
200000, "Built-in", 0.057750
200000, "Sequential", 0.053535
200000, "Parallel", 0.082287
200000, "Built-in", 0.047801
200000, "Sequential", 0.065482
200000, "Parallel", 0.061873
200000, "Built-in", 0.045793
200000, "Sequential", 0.048185
200000, "Parallel", 0.068397
200000, "Built-in", 0.048660
200000, "Sequential", 0.050820
200000, "Parallel", 0.060450
200000, "Built-in", 0.042725
200000, "Sequential", 0.046331
200000, "Parallel", 0.066722
200000, "Built-in", 0.044988
200000, "Sequential", 0.050040
200000, "Parallel", 0.072759
200000, "Built-in", 0.045740
200000, "Sequential", 0.044223
200000, "Parallel", 0.067983
200000, "Built-in", 0.045349
200000, "Sequential", 0.048006
200000, "Parallel", 0.072799
200000, "Built-in", 0.045212
200000, "Sequential", 0.044777
200000, "Parallel", 0.067634
200000, "Built-in", 0.045574
200000, "Sequential", 0.044559
200000, "Parallel", 0.054703
200000, "Built-in", 0.045824
200000, "Sequential", 0.046592
200000, "Parallel", 0.066796
200000, "Built-in", 0.063305
300000, "Sequential", 0.095036
300000, "Parallel", 0.088407
300000, "Built-in", 0.078809
300000, "Sequential", 0.081117
300000, "Parallel", 0.095201
300000, "Built-in", 0.073560
300000, "Sequential", 0.073928
300000, "Parallel", 0.089166
300000, "Built-in", 0.082124
300000, "Sequential", 0.084663
300000, "Parallel", 0.084202
300000, "Built-in", 0.073327
300000, "Sequential", 0.081766
300000, "Parallel", 0.084102
300000, "Built-in", 0.082990
300000, "Sequential", 0.083256
300000, "Parallel", 0.093789
300000, "Built-in", 0.073272
300000, "Sequential", 0.068444
300000, "Parallel", 0.083028
300000, "Built-in", 0.063255
300000, "Sequential", 0.063805
300000, "Parallel", 0.092773
300000, "Built-in", 0.067607
300000, "Sequential", 0.070102
300000, "Parallel", 0.082027
300000, "Built-in", 0.060934
300000, "Sequential", 0.064279
300000, "Parallel", 0.081320
300000, "Built-in", 0.059682
300000, "Sequential", 0.064148
300000, "Parallel", 0.092441
300000, "Built-in", 0.060976
300000, "Sequential", 0.066409
300000, "Parallel", 0.081336
300000, "Built-in", 0.061282
300000, "Sequential", 0.066826
300000, "Parallel", 0.087348
300000, "Built-in", 0.060400
300000, "Sequential", 0.064449
300000, "Parallel", 0.084678
300000, "Built-in", 0.064451
300000, "Sequential", 0.061428
300000, "Parallel", 0.087232
300000, "Built-in", 0.061681
300000, "Sequential", 0.059850
300000, "Parallel", 0.081889
300000, "Built-in", 0.067552
300000, "Sequential", 0.064197
300000, "Parallel", 0.084971
300000, "Built-in", 0.064767
300000, "Sequential", 0.060828
300000, "Parallel", 0.079167
300000, "Built-in", 0.061508
300000, "Sequential", 0.059569
300000, "Parallel", 0.079375
300000, "Built-in", 0.071201
300000, "Sequential", 0.086151
300000, "Parallel", 0.099979
300000, "Built-in", 0.071876
400000, "Sequential", 0.097064
400000, "Parallel", 0.114132
400000, "Built-in", 0.103942
400000, "Sequential", 0.090789
400000, "Parallel", 0.105103
400000, "Built-in", 0.090258
400000, "Sequential", 0.098525
400000, "Parallel", 0.111906
400000, "Built-in", 0.093701
400000, "Sequential", 0.109043
400000, "Parallel", 0.115686
400000, "Built-in", 0.090819
400000, "Sequential", 0.084937
400000, "Parallel", 0.113300
400000, "Built-in", 0.083109
400000, "Sequential", 0.082143
400000, "Parallel", 0.114237
400000, "Built-in", 0.087582
400000, "Sequential", 0.086277
400000, "Parallel", 0.111852
400000, "Built-in", 0.086729
400000, "Sequential", 0.088995
400000, "Parallel", 0.110517
400000, "Built-in", 0.100706
400000, "Sequential", 0.099455
400000, "Parallel", 0.130087
400000, "Built-in", 0.079865
400000, "Sequential", 0.095934
400000, "Parallel", 0.107668
400000, "Built-in", 0.095089
400000, "Sequential", 0.083036
400000, "Parallel", 0.107317
400000, "Built-in", 0.085865
400000, "Sequential", 0.081473
400000, "Parallel", 0.106867
400000, "Built-in", 0.088184
400000, "Sequential", 0.094051
400000, "Parallel", 0.109504
400000, "Built-in", 0.096834
400000, "Sequential", 0.105974
400000, "Parallel", 0.120649
400000, "Built-in", 0.106694
400000, "Sequential", 0.100094
400000, "Parallel", 0.112330
400000, "Built-in", 0.087794
400000, "Sequential", 0.113426
400000, "Parallel", 0.118606
400000, "Built-in", 0.118044
400000, "Sequential", 0.103082
400000, "Parallel", 0.118527
400000, "Built-in", 0.092024
400000, "Sequential", 0.086480
400000, "Parallel", 0.112249
400000, "Built-in", 0.110608
400000, "Sequential", 0.112300
400000, "Parallel", 0.123120
400000, "Built-in", 0.092666
400000, "Sequential", 0.100418
400000, "Parallel", 0.177348
400000, "Built-in", 0.132281
500000, "Sequential", 0.139158
500000, "Parallel", 0.127456
500000, "Built-in", 0.155745
500000, "Sequential", 0.119107
500000, "Parallel", 0.136634
500000, "Built-in", 0.142297
500000, "Sequential", 0.112908
500000, "Parallel", 0.141970
500000, "Built-in", 0.127136
500000, "Sequential", 0.118907
500000, "Parallel", 0.174911
500000, "Built-in", 0.113476
500000, "Sequential", 0.143378
500000, "Parallel", 0.181227
500000, "Built-in", 0.134576
500000, "Sequential", 0.155519
500000, "Parallel", 0.131613
500000, "Built-in", 0.151186
500000, "Sequential", 0.108769
500000, "Parallel", 0.133098
500000, "Built-in", 0.156519
500000, "Sequential", 0.109826
500000, "Parallel", 0.132112
500000, "Built-in", 0.101438
500000, "Sequential", 0.111974
500000, "Parallel", 0.131424
500000, "Built-in", 0.104857
500000, "Sequential", 0.115530
500000, "Parallel", 0.136083
500000, "Built-in", 0.108083
500000, "Sequential", 0.113837
500000, "Parallel", 0.149563
500000, "Built-in", 0.110951
500000, "Sequential", 0.120924
500000, "Parallel", 0.138792
